filename, title, artist, source, license
Stranger_Intro_Trap_Beat_30sec.mp3, "Stranger Intro Trap Beat - 30 Sec.", Brotheration_Records, https://pixabay.com/music/trap-stranger-intro-trap-beat-30-sec-165795/, Pixabay Content License (royalty-free no attribution required)
EONA_Emotional_Ambient_Pop.mp3, "EONA - Emotional Ambient Pop", Rockot, https://pixabay.com/music/beats-eona-emotional-ambient-pop-351436/, Pixabay Content License (royalty-free no attribution required)
Jungle_Waves_Drum_n_Bass.mp3, "Jungle Waves (Drum&Bass Electronic Inspiring Promo)", DIMMYSAD, https://pixabay.com/music/drum-n-bass-jungle-waves-drum-bass-electronic-inspiring-promo-2777/, Pixabay Content License (royalty-free no attribution required)
Future_Design.mp3, "Future Design", penguinmusic, https://pixabay.com/music/future-bass-future-design-15575/, Pixabay Content License (royalty-free no attribution required)
Brain_Implant.mp3, "Brain Implant (Cyberpunk Sci-Fi Trailer Action Intro)", soundbay, https://pixabay.com/music/upbeat-brain-implant-cyberpunk-sci-fi-trailer-action-intro-1977/, Pixabay Content License (royalty-free no attribution required)
Sad_Epic_Cinematic_Music_Classical.mp3, "Sad Epic Cinematic Music (Classical)", Clavier-Music, https://pixabay.com/music/modern-classical-sad-epic-cinematic-music-classical-233797/, Pixabay Content License (royalty-free no attribution required)
Mutant.mp3, "Mutant!", CloudSystem, https://tunetank.com/track/6718-mutant!/, Tunetank Free Personal License (royalty-free personal use)
Step_By_Step.mp3, "Step By Step", Evan Splash, https://tunetank.com/track/187-step-by-step/, Tunetank Free Personal License (royalty-free personal use)
Jazzy_Serenity.mp3, "Jazzy Serenity", Stanislav, https://tunetank.com/track/6735-jazzy-serenity/, Tunetank Free Personal License (royalty-free personal use)
Space_Phonk.mp3, "Space Phonk", Pure, https://tunetank.com/track/6006-space-phonk/, Tunetank Free Personal License (royalty-free personal use)
Kids_Energy_Fun_Quirky_Band_Loop.mp3, "Kids Energy Fun Quirky Band Loop", Coma-Media, https://pixabay.com/music/happy-childrens-tunes-kids-energy-fun-quirky-band-loop-345554/,  Pixabay Content License (royalty-free no attribution required)
